study_id,findings_token_count,has_findings,has_impression
66_aug_1,30,1,1
66_aug_2,36,1,1
66_aug_3,29,1,1
66_aug_4,27,1,1
66_aug_5,24,1,1
66_aug_6,32,1,1
68,0,0,1
68_aug_1,0,0,1
68_aug_2,0,0,1
68_aug_3,0,0,1
68_aug_4,0,0,1
68_aug_5,0,0,1
68_aug_6,0,0,1
70,19,1,1
70_aug_1,20,1,1
70_aug_2,19,1,1
70_aug_3,20,1,1
70_aug_4,23,1,1
70_aug_5,22,1,1
70_aug_6,21,1,1
71,13,1,1
71_aug_1,15,1,1
71_aug_2,14,1,1
71_aug_3,15,1,1
71_aug_4,18,1,1
71_aug_5,15,1,1
71_aug_6,17,1,1
72,16,1,1
72_aug_1,19,1,1
72_aug_2,21,1,1
72_aug_3,16,1,1
72_aug_4,18,1,1
72_aug_5,16,1,1
72_aug_6,16,1,1
73,0,0,1
73_aug_1,0,0,1
73_aug_2,0,0,1
73_aug_3,0,0,1
73_aug_4,0,0,1
73_aug_5,0,0,1
73_aug_6,0,0,1
75,29,1,1
75_aug_1,29,1,1
75_aug_2,29,1,1
75_aug_3,29,1,1
75_aug_4,31,1,1
75_aug_5,30,1,1
75_aug_6,29,1,1
78,0,0,1
78_aug_1,0,0,1
78_aug_2,0,0,1
78_aug_3,0,0,1
78_aug_4,0,0,1
78_aug_5,0,0,1
78_aug_6,0,0,1
80,19,1,1
80_aug_1,25,1,1
80_aug_2,23,1,1
80_aug_3,24,1,1
80_aug_4,24,1,1
80_aug_5,25,1,1
80_aug_6,23,1,1
83,0,0,1
83_aug_1,0,0,1
83_aug_2,0,0,1
83_aug_3,0,0,1
83_aug_4,0,0,1
83_aug_5,0,0,1
83_aug_6,0,0,1
84,22,1,1
84_aug_1,23,1,1
84_aug_2,27,1,1
84_aug_3,24,1,1
84_aug_4,26,1,1
84_aug_5,24,1,1
84_aug_6,24,1,1
86,13,1,1
86_aug_1,22,1,1
86_aug_2,20,1,1
86_aug_3,14,1,1
86_aug_4,15,1,1
86_aug_5,18,1,1
86_aug_6,19,1,1
87,16,1,1
87_aug_1,23,1,1
87_aug_2,21,1,1
87_aug_3,20,1,1
87_aug_4,22,1,1
87_aug_5,16,1,1
87_aug_6,20,1,1
89,15,1,1
89_aug_1,17,1,1
89_aug_2,15,1,1
89_aug_3,16,1,1
89_aug_4,16,1,1
89_aug_5,16,1,1
89_aug_6,15,1,1
90,20,1,1
90_aug_1,22,1,1
90_aug_2,22,1,1
90_aug_3,25,1,1
90_aug_4,24,1,1
90_aug_5,26,1,1
90_aug_6,22,1,1
91,25,1,1
91_aug_1,27,1,1
91_aug_2,27,1,1
91_aug_3,28,1,1
91_aug_4,28,1,1
91_aug_5,37,1,1
91_aug_6,25,1,1
92,0,0,1
92_aug_1,0,0,1
92_aug_2,0,0,1
92_aug_3,0,0,1
92_aug_4,0,0,1
92_aug_5,0,0,1
92_aug_6,0,0,1
95,29,1,1
95_aug_1,32,1,1
95_aug_2,32,1,1
95_aug_3,36,1,1
95_aug_4,33,1,1
95_aug_5,34,1,1
95_aug_6,31,1,1
97,7,1,1
97_aug_1,7,1,1
97_aug_2,9,1,1
97_aug_3,8,1,1
97_aug_4,7,1,1
97_aug_5,9,1,1
97_aug_6,12,1,1
98,19,1,1
98_aug_1,19,1,1
98_aug_2,21,1,1
98_aug_3,21,1,1
98_aug_4,21,1,1
98_aug_5,20,1,1
98_aug_6,20,1,1
100,6,1,1
100_aug_1,6,1,1
100_aug_2,9,1,1
100_aug_3,6,1,1
100_aug_4,6,1,1
100_aug_5,11,1,1
100_aug_6,8,1,1
101,38,1,1
101_aug_1,44,1,1
101_aug_2,42,1,1
101_aug_3,45,1,1
101_aug_4,44,1,1
101_aug_5,41,1,1
101_aug_6,42,1,1
103,44,1,1
103_aug_1,46,1,1
103_aug_2,47,1,1
103_aug_3,48,1,1
103_aug_4,50,1,1
103_aug_5,46,1,1
103_aug_6,48,1,1
105,22,1,1
105_aug_1,28,1,1
105_aug_2,24,1,1
105_aug_3,25,1,1
105_aug_4,27,1,1
105_aug_5,23,1,1
105_aug_6,26,1,1
106,14,1,1
106_aug_1,15,1,1
106_aug_2,15,1,1
106_aug_3,15,1,1
106_aug_4,17,1,1
106_aug_5,16,1,1
106_aug_6,21,1,1
107,22,1,1
107_aug_1,23,1,1
107_aug_2,23,1,1
107_aug_3,25,1,1
107_aug_4,23,1,1
107_aug_5,24,1,1
107_aug_6,23,1,1
110,11,1,1
110_aug_1,11,1,1
110_aug_2,14,1,1
110_aug_3,11,1,1
110_aug_4,11,1,1
110_aug_5,14,1,1
110_aug_6,14,1,1
111,0,0,1
111_aug_1,0,0,1
111_aug_2,0,0,1
111_aug_3,0,0,1
111_aug_4,0,0,1
111_aug_5,0,0,1
111_aug_6,0,0,1
113,25,1,1
113_aug_1,25,1,1
113_aug_2,28,1,1
113_aug_3,28,1,1
113_aug_4,25,1,1
113_aug_5,27,1,1
113_aug_6,27,1,1
114,19,1,1
114_aug_1,22,1,1
114_aug_2,22,1,1
114_aug_3,22,1,1
114_aug_4,28,1,1
114_aug_5,24,1,1
114_aug_6,19,1,1
115,14,1,1
115_aug_1,20,1,1
115_aug_2,19,1,1
115_aug_3,22,1,1
115_aug_4,25,1,1
115_aug_5,17,1,1
115_aug_6,29,1,1
117,0,0,1
117_aug_1,0,0,1
117_aug_2,0,0,1
117_aug_3,0,0,1
117_aug_4,0,0,1
117_aug_5,0,0,1
117_aug_6,0,0,1
119,22,1,1
119_aug_1,24,1,1
119_aug_2,27,1,1
119_aug_3,29,1,1
119_aug_4,28,1,1
119_aug_5,27,1,1
119_aug_6,27,1,1
121,14,1,1
121_aug_1,18,1,1
121_aug_2,16,1,1
121_aug_3,16,1,1
121_aug_4,16,1,1
121_aug_5,16,1,1
121_aug_6,18,1,1
124,0,0,1
124_aug_1,0,0,1
124_aug_2,0,0,1
124_aug_3,0,0,1
124_aug_4,0,0,1
124_aug_5,0,0,1
124_aug_6,0,0,1
126,33,1,1
126_aug_1,39,1,1
126_aug_2,36,1,1
126_aug_3,33,1,1
126_aug_4,36,1,1
126_aug_5,34,1,1
126_aug_6,33,1,1
127,24,1,1
127_aug_1,24,1,1
127_aug_2,29,1,1
127_aug_3,26,1,1
127_aug_4,28,1,1
127_aug_5,26,1,1
127_aug_6,27,1,1
129,25,1,1
129_aug_1,26,1,1
129_aug_2,28,1,1
129_aug_3,27,1,1
129_aug_4,32,1,1
129_aug_5,28,1,1
129_aug_6,29,1,1
131,24,1,1
131_aug_1,30,1,1
131_aug_2,27,1,1
131_aug_3,31,1,1
131_aug_4,29,1,1
131_aug_5,29,1,1
131_aug_6,27,1,1
133,7,1,1
133_aug_1,9,1,1
133_aug_2,7,1,1
133_aug_3,7,1,1
133_aug_4,7,1,1
133_aug_5,10,1,1
133_aug_6,7,1,1
135,15,1,1
135_aug_1,18,1,1
135_aug_2,19,1,1
135_aug_3,18,1,1
135_aug_4,17,1,1
135_aug_5,17,1,1
135_aug_6,19,1,1
136,14,1,1
136_aug_1,17,1,1
136_aug_2,20,1,1
136_aug_3,15,1,1
136_aug_4,17,1,1
136_aug_5,15,1,1
136_aug_6,20,1,1
141,23,1,1
141_aug_1,23,1,1
141_aug_2,28,1,1
141_aug_3,24,1,1
141_aug_4,24,1,1
141_aug_5,25,1,1
141_aug_6,24,1,1
143,17,1,1
143_aug_1,24,1,1
143_aug_2,19,1,1
143_aug_3,21,1,1
143_aug_4,19,1,1
143_aug_5,23,1,1
143_aug_6,25,1,1
144,24,1,1
144_aug_1,28,1,1
144_aug_2,26,1,1
144_aug_3,26,1,1
144_aug_4,27,1,1
144_aug_5,25,1,1
144_aug_6,26,1,1
145,11,1,1
145_aug_1,14,1,1
145_aug_2,11,1,1
145_aug_3,16,1,1
145_aug_4,11,1,1
145_aug_5,11,1,1
145_aug_6,14,1,1
149,0,0,1
149_aug_1,0,0,1
149_aug_2,0,0,1
149_aug_3,0,0,1
149_aug_4,0,0,1
149_aug_5,0,0,1
149_aug_6,0,0,1
150,25,1,1
150_aug_1,25,1,1
150_aug_2,28,1,1
150_aug_3,32,1,1
150_aug_4,27,1,1
150_aug_5,28,1,1
150_aug_6,29,1,1
151,9,1,1
151_aug_1,9,1,1
151_aug_2,9,1,1
151_aug_3,10,1,1
151_aug_4,15,1,1
151_aug_5,9,1,1
151_aug_6,11,1,1
152,26,1,1
152_aug_1,29,1,1
152_aug_2,30,1,1
152_aug_3,28,1,1
152_aug_4,33,1,1
152_aug_5,28,1,1
152_aug_6,30,1,1
154,17,1,1
154_aug_1,22,1,1
154_aug_2,22,1,1
154_aug_3,21,1,1
154_aug_4,25,1,1
154_aug_5,20,1,1
154_aug_6,30,1,1
155,0,0,1
155_aug_1,0,0,1
155_aug_2,0,0,1
155_aug_3,0,0,1
155_aug_4,0,0,1
155_aug_5,0,0,1
155_aug_6,0,0,1
158,16,1,1
158_aug_1,18,1,1
158_aug_2,17,1,1
158_aug_3,22,1,1
158_aug_4,19,1,1
158_aug_5,21,1,1
158_aug_6,18,1,1
159,30,1,1
159_aug_1,34,1,1
159_aug_2,32,1,1
159_aug_3,33,1,1
159_aug_4,33,1,1
159_aug_5,31,1,1
159_aug_6,32,1,1
160,20,1,1
160_aug_1,27,1,1
160_aug_2,21,1,1
160_aug_3,24,1,1
160_aug_4,21,1,1
160_aug_5,21,1,1
160_aug_6,23,1,1
161,28,1,1
161_aug_1,29,1,1
161_aug_2,31,1,1
161_aug_3,29,1,1
161_aug_4,31,1,1
161_aug_5,31,1,1
161_aug_6,31,1,1
162,14,1,1
162_aug_1,19,1,1
162_aug_2,16,1,1
162_aug_3,22,1,1
162_aug_4,20,1,1
162_aug_5,19,1,1
162_aug_6,18,1,1
163,38,1,1
163_aug_1,42,1,1
163_aug_2,38,1,1
163_aug_3,40,1,1
163_aug_4,39,1,1
163_aug_5,39,1,1
163_aug_6,39,1,1
166,27,1,1
166_aug_1,31,1,1
166_aug_2,31,1,1
166_aug_3,30,1,1
166_aug_4,30,1,1
166_aug_5,28,1,1
166_aug_6,31,1,1
167,13,1,1
167_aug_1,19,1,1
167_aug_2,13,1,1
167_aug_3,15,1,1
167_aug_4,13,1,1
167_aug_5,13,1,1
167_aug_6,16,1,1
168,36,1,1
168_aug_1,38,1,1
168_aug_2,37,1,1
168_aug_3,36,1,1
168_aug_4,38,1,1
168_aug_5,36,1,1
168_aug_6,37,1,1
169,14,1,1
169_aug_1,15,1,1
169_aug_2,18,1,1
169_aug_3,19,1,1
169_aug_4,15,1,1
169_aug_5,14,1,1
169_aug_6,17,1,1
170,0,0,1
170_aug_1,0,0,1
170_aug_2,0,0,1
170_aug_3,0,0,1
170_aug_4,0,0,1
170_aug_5,0,0,1
170_aug_6,0,0,1
173,26,1,1
173_aug_1,29,1,1
173_aug_2,27,1,1
173_aug_3,33,1,1
173_aug_4,31,1,1
173_aug_5,30,1,1
173_aug_6,34,1,1
174,46,1,1
174_aug_1,48,1,1
174_aug_2,52,1,1
174_aug_3,50,1,1
174_aug_4,49,1,1
174_aug_5,47,1,1
174_aug_6,50,1,1
175,40,1,1
175_aug_1,44,1,1
175_aug_2,45,1,1
175_aug_3,49,1,1
175_aug_4,43,1,1
175_aug_5,46,1,1
175_aug_6,43,1,1
177,40,1,1
177_aug_1,48,1,1
177_aug_2,46,1,1
177_aug_3,42,1,1
177_aug_4,45,1,1
177_aug_5,48,1,1
177_aug_6,43,1,1
178,30,1,1
178_aug_1,33,1,1
178_aug_2,33,1,1
178_aug_3,33,1,1
178_aug_4,31,1,1
178_aug_5,33,1,1
178_aug_6,34,1,1
179,15,1,1
179_aug_1,21,1,1
179_aug_2,17,1,1
179_aug_3,18,1,1
179_aug_4,22,1,1
179_aug_5,15,1,1
179_aug_6,19,1,1
181,16,1,1
181_aug_1,17,1,1
181_aug_2,21,1,1
181_aug_3,18,1,1
181_aug_4,19,1,1
181_aug_5,23,1,1
181_aug_6,22,1,1
182,26,1,1
182_aug_1,29,1,1
182_aug_2,27,1,1
182_aug_3,29,1,1
182_aug_4,31,1,1
182_aug_5,29,1,1
182_aug_6,31,1,1
183,32,1,1
183_aug_1,36,1,1
183_aug_2,39,1,1
183_aug_3,37,1,1
183_aug_4,33,1,1
183_aug_5,37,1,1
183_aug_6,37,1,1
185,20,1,1
185_aug_1,24,1,1
185_aug_2,25,1,1
185_aug_3,24,1,1
185_aug_4,24,1,1
185_aug_5,27,1,1
185_aug_6,25,1,1
186,29,1,1
186_aug_1,31,1,1
186_aug_2,36,1,1
186_aug_3,30,1,1
186_aug_4,34,1,1
186_aug_5,33,1,1
186_aug_6,31,1,1
187,17,1,1
187_aug_1,20,1,1
187_aug_2,20,1,1
187_aug_3,23,1,1
187_aug_4,22,1,1
187_aug_5,21,1,1
187_aug_6,17,1,1
188,0,0,1
188_aug_1,0,0,1
188_aug_2,0,0,1
188_aug_3,0,0,1
188_aug_4,0,0,1
188_aug_5,0,0,1
188_aug_6,0,0,1
189,36,1,1
189_aug_1,41,1,1
189_aug_2,45,1,1
189_aug_3,44,1,1
189_aug_4,46,1,1
189_aug_5,44,1,1
189_aug_6,41,1,1
190,17,1,1
190_aug_1,20,1,1
190_aug_2,20,1,1
190_aug_3,19,1,1
190_aug_4,18,1,1
190_aug_5,18,1,1
190_aug_6,18,1,1
191,22,1,1
191_aug_1,26,1,1
191_aug_2,26,1,1
191_aug_3,29,1,1
191_aug_4,26,1,1
191_aug_5,27,1,1
191_aug_6,27,1,1
193,22,1,1
193_aug_1,31,1,1
193_aug_2,25,1,1
193_aug_3,29,1,1
193_aug_4,23,1,1
193_aug_5,22,1,1
193_aug_6,23,1,1
194,23,1,1
194_aug_1,27,1,1
194_aug_2,27,1,1
194_aug_3,33,1,1
194_aug_4,27,1,1
194_aug_5,25,1,1
194_aug_6,26,1,1
195,10,1,1
195_aug_1,16,1,1
195_aug_2,12,1,1
195_aug_3,14,1,1
195_aug_4,13,1,1
195_aug_5,11,1,1
195_aug_6,13,1,1
196,16,1,1
196_aug_1,16,1,1
196_aug_2,16,1,1
196_aug_3,16,1,1
196_aug_4,18,1,1
196_aug_5,18,1,1
196_aug_6,16,1,1
197,26,1,1
197_aug_1,27,1,1
197_aug_2,27,1,1
197_aug_3,32,1,1
197_aug_4,31,1,1
197_aug_5,29,1,1
197_aug_6,28,1,1
201,42,1,1
201_aug_1,51,1,1
201_aug_2,51,1,1
201_aug_3,46,1,1
201_aug_4,43,1,1
201_aug_5,52,1,1
201_aug_6,47,1,1
202,4,1,1
202_aug_1,4,1,1
202_aug_2,4,1,1
202_aug_3,4,1,1
202_aug_4,4,1,1
202_aug_5,4,1,1
202_aug_6,4,1,1
205,0,0,1
205_aug_1,0,0,1
205_aug_2,0,0,1
205_aug_3,0,0,1
205_aug_4,0,0,1
205_aug_5,0,0,1
205_aug_6,0,0,1
206,104,1,1
206_aug_1,107,1,1
206_aug_2,108,1,1
206_aug_3,106,1,1
206_aug_4,110,1,1
206_aug_5,110,1,1
206_aug_6,111,1,1
208,30,1,1
208_aug_1,33,1,1
208_aug_2,34,1,1
208_aug_3,33,1,1
208_aug_4,36,1,1
208_aug_5,36,1,1
208_aug_6,40,1,1
209,0,0,1
209_aug_1,0,0,1
209_aug_2,0,0,1
209_aug_3,0,0,1
209_aug_4,0,0,1
209_aug_5,0,0,1
209_aug_6,0,0,1
210,24,1,1
210_aug_1,26,1,1
210_aug_2,32,1,1
210_aug_3,26,1,1
210_aug_4,26,1,1
210_aug_5,31,1,1
210_aug_6,29,1,1
212,31,1,1
212_aug_1,33,1,1
212_aug_2,32,1,1
212_aug_3,34,1,1
212_aug_4,35,1,1
212_aug_5,33,1,1
212_aug_6,31,1,1
215,28,1,1
215_aug_1,30,1,1
215_aug_2,31,1,1
215_aug_3,32,1,1
215_aug_4,34,1,1
215_aug_5,31,1,1
215_aug_6,28,1,1
219,11,1,1
219_aug_1,11,1,1
219_aug_2,13,1,1
219_aug_3,13,1,1
219_aug_4,11,1,1
219_aug_5,11,1,1
219_aug_6,11,1,1
221,27,1,1
221_aug_1,32,1,1
221_aug_2,31,1,1
221_aug_3,34,1,1
221_aug_4,28,1,1
221_aug_5,31,1,1
221_aug_6,32,1,1
223,25,1,1
223_aug_1,29,1,1
223_aug_2,27,1,1
223_aug_3,26,1,1
223_aug_4,26,1,1
223_aug_5,28,1,1
223_aug_6,29,1,1
224,13,1,1
224_aug_1,17,1,1
224_aug_2,16,1,1
224_aug_3,16,1,1
224_aug_4,15,1,1
224_aug_5,15,1,1
224_aug_6,14,1,1
225,16,1,1
225_aug_1,20,1,1
225_aug_2,20,1,1
225_aug_3,19,1,1
225_aug_4,22,1,1
225_aug_5,20,1,1
225_aug_6,19,1,1
226,7,1,1
226_aug_1,7,1,1
226_aug_2,9,1,1
226_aug_3,8,1,1
226_aug_4,7,1,1
226_aug_5,10,1,1
226_aug_6,9,1,1
227,22,1,1
227_aug_1,24,1,1
227_aug_2,24,1,1
227_aug_3,23,1,1
227_aug_4,22,1,1
227_aug_5,25,1,1
227_aug_6,25,1,1
228,42,1,1
228_aug_1,44,1,1
228_aug_2,43,1,1
228_aug_3,43,1,1
228_aug_4,48,1,1
228_aug_5,50,1,1
228_aug_6,44,1,1
229,30,1,1
229_aug_1,32,1,1
229_aug_2,33,1,1
229_aug_3,33,1,1
229_aug_4,31,1,1
229_aug_5,35,1,1
229_aug_6,32,1,1
230,0,0,1
230_aug_1,0,0,1
230_aug_2,0,0,1
230_aug_3,0,0,1
230_aug_4,0,0,1
230_aug_5,0,0,1
230_aug_6,0,0,1
233,49,1,1
233_aug_1,50,1,1
233_aug_2,55,1,1
233_aug_3,52,1,1
233_aug_4,51,1,1
233_aug_5,52,1,1
233_aug_6,50,1,1
236,13,1,1
236_aug_1,16,1,1
236_aug_2,14,1,1
236_aug_3,17,1,1
236_aug_4,15,1,1
236_aug_5,16,1,1
236_aug_6,16,1,1
237,25,1,1
237_aug_1,26,1,1
237_aug_2,26,1,1
237_aug_3,29,1,1
237_aug_4,27,1,1
237_aug_5,27,1,1
237_aug_6,25,1,1
238,14,1,1
238_aug_1,16,1,1
238_aug_2,15,1,1
238_aug_3,16,1,1
238_aug_4,17,1,1
238_aug_5,18,1,1
238_aug_6,17,1,1
239,0,0,1
239_aug_1,0,0,1
239_aug_2,0,0,1
239_aug_3,0,0,1
239_aug_4,0,0,1
239_aug_5,0,0,1
239_aug_6,0,0,1
240,40,1,1
240_aug_1,40,1,1
240_aug_2,40,1,1
240_aug_3,47,1,1
240_aug_4,43,1,1
240_aug_5,40,1,1
240_aug_6,44,1,1
241,23,1,1
241_aug_1,25,1,1
241_aug_2,27,1,1
241_aug_3,24,1,1
241_aug_4,26,1,1
241_aug_5,24,1,1
241_aug_6,30,1,1
245,23,1,1
245_aug_1,30,1,1
245_aug_2,26,1,1
245_aug_3,26,1,1
245_aug_4,25,1,1
245_aug_5,30,1,1
245_aug_6,26,1,1
246,12,1,1
246_aug_1,16,1,1
246_aug_2,14,1,1
246_aug_3,17,1,1
246_aug_4,13,1,1
246_aug_5,15,1,1
246_aug_6,15,1,1
248,20,1,1
248_aug_1,29,1,1
248_aug_2,22,1,1
248_aug_3,23,1,1
248_aug_4,22,1,1
248_aug_5,27,1,1
248_aug_6,22,1,1
249,31,1,1
249_aug_1,36,1,1
249_aug_2,33,1,1
249_aug_3,36,1,1
249_aug_4,32,1,1
249_aug_5,34,1,1
249_aug_6,32,1,1
250,19,1,1
250_aug_1,22,1,1
250_aug_2,22,1,1
250_aug_3,23,1,1
250_aug_4,26,1,1
250_aug_5,19,1,1
250_aug_6,24,1,1
252,12,1,1
252_aug_1,17,1,1
252_aug_2,17,1,1
252_aug_3,16,1,1
252_aug_4,13,1,1
252_aug_5,14,1,1
252_aug_6,17,1,1
255,14,1,1
255_aug_1,16,1,1
255_aug_2,20,1,1
255_aug_3,18,1,1
255_aug_4,15,1,1
255_aug_5,18,1,1
255_aug_6,16,1,1
256,22,1,1
256_aug_1,22,1,1
256_aug_2,25,1,1
256_aug_3,25,1,1
256_aug_4,24,1,1
256_aug_5,24,1,1
256_aug_6,25,1,1
257,19,1,1
257_aug_1,22,1,1
257_aug_2,19,1,1
257_aug_3,19,1,1
257_aug_4,19,1,1
257_aug_5,20,1,1
257_aug_6,19,1,1
258,26,1,1
258_aug_1,27,1,1
258_aug_2,26,1,1
258_aug_3,28,1,1
258_aug_4,28,1,1
258_aug_5,26,1,1
258_aug_6,29,1,1
259,17,1,1
259_aug_1,22,1,1
259_aug_2,24,1,1
259_aug_3,22,1,1
259_aug_4,21,1,1
259_aug_5,18,1,1
259_aug_6,18,1,1
262,27,1,1
262_aug_1,33,1,1
